px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
169.119	31.3747	3.2127	0.454392	0.0952745	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.196903
172.166	32.3414	4.62189	0.126614	-0.175578	172.175	32.3404	172.079	32.3873	2.58945	1.06126	0.45283
172.152	32.328	3.50356	0.0618791	-0.254207	172.135	32.6666	172.079	32.3873	2.58945	1.06126	1.13836
174.643	33.4549	3.43288	0.543376	0.213264	174.643	33.4625	174.685	33.4095	2.56021	0.960341	0.450108
174.626	33.4539	3.06606	0.579407	0.255842	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.102784
177.025	34.2062	3.15806	0.200523	-0.158908	177.03	34.2009	177.261	34.3262	2.52363	0.850119	0.403307
177.039	34.2027	2.84785	0.179681	-0.173894	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.261731
180.139	35.137	4.36672	0.383807	0.0658635	180.145	35.1423	179.799	35.1289	2.47883	0.732949	0.460382
180.026	35.1217	3.05325	0.474701	0.180457	179.543	35.4767	179.799	35.1289	2.47883	0.732949	2.97435
182.594	35.7572	3.57599	0.0981322	-0.177079	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.325371
182.5	35.7341	2.84545	0.0494989	-0.229095	182.047	36.2626	182.292	35.8114	2.42515	0.611338	1.96453
184.731	36.5073	3.07118	0.459795	0.179266	184.732	36.5155	184.73	36.37	2.36226	0.487877	0.3533
184.732	36.5107	2.57851	0.521908	0.245312	184.833	36.1451	184.73	36.37	2.36226	0.487877	0.125831
186.939	36.9476	2.92026	0.0463226	-0.220306	186.946	36.9404	187.103	36.804	2.29017	0.365145	0.51042
187.002	36.9551	2.75358	-0.017323	-0.280024	187.296	36.9375	187.103	36.804	2.29017	0.365145	1.15899
189.462	37.398	3.37519	0.273123	0.0844293	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.334287
189.487	37.4077	2.59309	0.374526	0.168484	189.738	36.951	189.401	37.1147	2.20928	0.245623	0.680817
191.73	37.5708	2.92209	-0.0962234	-0.240799	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.367037
191.701	37.5611	2.48066	-0.141876	-0.295356	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0.250494
193.471	37.2755	2.44797	-0.180271	-0.130908	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	0.0610223
193.489	37.2794	2.40224	-0.179739	-0.143957	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.120282
195.983	37.3927	3.7112	0.276056	0.227164	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	0.575577
195.855	37.3957	2.55475	0.313093	0.320661	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	3.58204
197.722	37.7337	2.67076	0.193861	0.0487678	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0.154267
197.675	37.7233	2.16133	0.152342	0.0220544	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.520081
199.293	37.2961	2.12408	-0.454733	-0.371029	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	0.321619
199.307	37.2989	2.15428	-0.453212	-0.369113	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.0476976
201.538	36.9875	2.94454	0.060008	0.184642	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	0.955417
201.407	36.9914	2.15078	-0.0876625	0.0502044	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	3.33725
202.962	36.4614	2.2487	-0.343297	-0.137306	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0.0722991
202.923	36.451	1.79789	-0.392252	-0.213998	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	0.372846
203.988	36.189	1.39453	-0.125938	0.0798689	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	0.215722
203.972	36.1774	1.58401	-0.0705511	0.139982	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	0.375169
